"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Limit Of Detection 114","Poor Linearity","LOD",0.907066,76.7824980854805,0.0012026866861203,1269.68466877962,0.822769,0.787323,67.3103612463164
"Limit Of Detection 115","Good Linearity","Good Linearity",0.9408,80.9754151562704,0.114364542824924,660.776087818469,0.885104,0.862125,4.05347601694561
"Limit Of Detection 116","Good Linearity","Good Linearity",0.956143,84.0892358822422,0.0183580957381511,634.591932068732,0.91421,0.897052,14.7951940351997
"Limit Of Detection 117","Poor Linearity","LOD",0.907591,75.7618624393834,0.0166086368622202,257.776580202636,0.823722,0.788467,15.7208576949634
"Limit Of Detection 118","Poor Linearity","LOD",0.890884,74.8052160448991,0.00577175215361779,758.287261071647,0.793674,0.752409,28.9356950966605
"Limit Of Detection 119","Poor Linearity","LOD",0.895111,76.1251773025864,0.00889794558483325,966.41187563795,0.801223,0.761468,22.6681605076676
"Limit Of Detection 120","Poor Linearity","LOD",0.916363,78.9037430771246,0.00194748487895245,1483.95972123446,0.839722,0.807666,52.1879025541198
"Limit Of Detection 121","Poor Linearity","LOD",0.850868,69.2354603802198,0.0098682892212915,226.923676176842,0.723977,0.668772,21.3603594589219
"Limit Of Detection 122","Poor Linearity","LOD",0.921219,78.131501726815,0.0084383113397984,734.682828708421,0.848645,0.818374,23.365069460909
"Limit Of Detection 123","Poor Linearity","LOD",0.824827,67.6441176258539,0.032879470993597,850.882091778876,0.680339,0.616407,10.2443565466044
"Limit Of Detection 124","Poor Linearity","LOD",0.902473,74.8753045086602,0.00214113134008231,573.202495573267,0.814458,0.77735,49.6191914720467
"Limit Of Detection 125","Poor Linearity","LOD",0.890837,73.4879937581599,0.00289240369665361,1733.49349742554,0.793591,0.752309,42.2311273355926
"Limit Of Detection 126","Poor Linearity","LOD",0.921022,78.7612414427777,0.00224305591435194,745.806574240524,0.848281,0.817937,48.4028853050063
"Limit Of Detection 127","Good Linearity","Good Linearity",0.938973,81.458156072853,1.52735514498385e-05,1030.59743334266,0.88167,0.858003,623.434258622842
"Limit Of Detection 128","Poor Linearity","LOD",0.907292,77.0724737424838,0.0029577774667177,584.466130034447,0.823178,0.787814,41.7252025544715
"Limit Of Detection 129","Poor Linearity","LOD",0.871455,72.3399184950116,0.00684310032357575,1215.29465089959,0.759433,0.71132,26.306967704395
"Limit Of Detection 130","Poor Linearity","LOD",0.917987,78.3714820705821,0.000791618433575992,133.410853539178,0.842701,0.811241,83.7361999071813
"Limit Of Detection 131","Good Linearity","Good Linearity",0.958923,85.5797169832016,0.00298225793113854,753.949076384611,0.919533,0.90344,41.5400455207453
"Limit Of Detection 132","Poor Linearity","LOD",0.906519,76.7872524236795,0.00520264104893497,387.884083704458,0.821777,0.786132,30.6519690967533
"Limit Of Detection 133","Poor Linearity","Poor Linearity",0.920534,78.3017157097461,0.0532646117266269,81.044519635167,0.847383,0.816859,7.37089375424541
"Limit Of Detection 134","Good Linearity","Good Linearity",0.933861,81.886432081327,0.00412329051170694,205.488426802941,0.872096,0.846515,34.8357690061495
"Limit Of Detection 135","Poor Linearity","LOD",0.85958,72.730264375563,0.0262299108985842,66.6637508491491,0.738878,0.686653,11.8518882057959
"Limit Of Detection 136","Poor Linearity","LOD",0.899953,76.8876989827814,0.00748828379456387,429.943049913141,0.809915,0.771898,25.0040581987468
"Limit Of Detection 137","Poor Linearity","LOD",0.907627,77.1499163007284,0.000813572381155431,559.909485514487,0.823788,0.788545,82.5536649713303
"Limit Of Detection 138","Poor Linearity","LOD",0.851143,69.4854873665754,0.0229205413023283,116.50266174301,0.724444,0.669333,12.9025944807718
"Limit Of Detection 139","Poor Linearity","LOD",0.92205,78.6681301680025,0.00067800903952793,1264.23171519641,0.850176,0.820212,90.7471210154091
"Limit Of Detection 140","Poor Linearity","LOD",0.898921,75.0244091280164,0.00455049372574363,1304.33952986399,0.808058,0.76967,33.00223577866
"Limit Of Detection 141","Poor Linearity","LOD",0.899837,76.9905197733347,0.00513070568768982,1227.53930208559,0.809706,0.771647,30.8890218946732
"Limit Of Detection 142","Poor Linearity","LOD",0.850338,69.6243460602404,0.025393310899507,1459.39579800747,0.723074,0.667689,12.0979312907497
"Limit Of Detection 143","Poor Linearity","LOD",0.864838,71.5672609746505,0.0135791205692193,705.034536209021,0.747945,0.697534,17.729543545422
"Limit Of Detection 144","Poor Linearity","LOD",0.855989,69.8176888548743,0.0125602917007968,1081.84865425845,0.732718,0.679262,18.5637150791548
"Limit Of Detection 145","Poor Linearity","LOD",0.877695,72.8396869480375,0.00744898277347742,1329.0142222437,0.770349,0.724419,25.0785467906074
"Limit Of Detection 146","Poor Linearity","LOD",0.901318,76.2177589601005,0.00552968950535957,1104.78467453417,0.812373,0.774848,29.6332354140008
"Limit Of Detection 147","Poor Linearity","LOD",0.891163,75.2124410179458,0.00739478462371828,850.129868748653,0.794172,0.753007,25.1822437246061
"Limit Of Detection 148","Poor Linearity","LOD",0.921114,77.5167606249737,0.000939316463584047,569.76966320292,0.848451,0.818142,76.5998925209462
"Limit Of Detection 149","Poor Linearity","LOD",0.896253,75.4666750539972,0.00221665986252352,1379.79795204221,0.803269,0.763923,48.709813015554
"Limit Of Detection 150","Good Linearity","Good Linearity",0.936987,80.7541413119604,0.00052235183738957,106.981961252963,0.877944,0.853533,103.849687332998
"Limit Of Detection 151","Poor Linearity","LOD",0.839465,67.4148757892444,0.0184948052389957,1687.98775592552,0.704701,0.645641,14.7284561901005
"Limit Of Detection 152","Poor Linearity","LOD",0.899846,76.3675959508887,0.00320821774938931,1564.45343989123,0.809723,0.771668,39.9323701578978
"Limit Of Detection 153","Poor Linearity","LOD",0.881721,74.371881590427,0.00443579684057523,719.839168729559,0.777432,0.732918,33.4683820468959
"Limit Of Detection 154","Poor Linearity","LOD",0.890071,74.6236585905559,0.00579000386168885,1694.99064258194,0.792227,0.750672,28.8848818247508
"Limit Of Detection 155","Poor Linearity","LOD",0.89444,75.1981759388497,0.00346569186842522,723.403166054397,0.800022,0.760026,38.2957700683639
"Limit Of Detection 156","Poor Linearity","LOD",0.926039,78.3188253784894,0.0111880034121985,589.155573867085,0.857547,0.829057,19.8629236222796
"Limit Of Detection 157","Poor Linearity","LOD",0.898879,74.4074338832131,0.0011052424345322,162.912989132586,0.807984,0.769581,70.3577302798666
"Limit Of Detection 158","Poor Linearity","LOD",0.9119,77.9437358486773,0.00326028517743349,63.7576315479419,0.831561,0.797873,39.5858249113171
"Limit Of Detection 159","Poor Linearity","LOD",0.903912,75.2307578950833,0.0074839721914014,92.3922379976761,0.817056,0.780467,25.0122014428073
"Limit Of Detection 160","Good Linearity","Good Linearity",0.932454,80.0153384514268,0.00615106184835671,835.304680176735,0.86947,0.843364,27.9266815047404
"Limit Of Detection 161","Good Linearity","Good Linearity",0.943585,82.2177564877993,0.00397713833600081,87.6351273956395,0.890352,0.868422,35.5299276757715
"Limit Of Detection 162","Poor Linearity","LOD",0.889664,73.6654028428483,0.00217973133463517,580.116560179266,0.791503,0.749804,49.148532701755
"Limit Of Detection 163","Poor Linearity","LOD",0.923084,77.8550215641758,0.00026192921927243,799.370009972202,0.852084,0.8225,148.022652055042
"Limit Of Detection 164","Poor Linearity","LOD",0.871205,74.3793005611036,0.0146482219589477,1308.71454585887,0.758999,0.710798,16.9496941469507
"Limit Of Detection 165","Poor Linearity","LOD",0.905013,75.7966141080709,0.00108016533772492,201.35578089725,0.819049,0.782858,71.2079601847349
"Limit Of Detection 166","Poor Linearity","LOD",0.918825,78.7923536391458,0.000657989174153475,1441.44618888086,0.844239,0.813087,92.1673631321837
"Limit Of Detection 167","Poor Linearity","LOD",0.857076,71.6274821684195,0.0226188096788809,1564.00434352974,0.73458,0.681496,13.0097433531371
"Limit Of Detection 168","Poor Linearity","LOD",0.91332,79.2512595827912,0.0111774149167381,588.524740014127,0.834154,0.800984,19.8738705565776
"Limit Of Detection 169","Poor Linearity","LOD",0.854358,71.4436925424867,0.0395447886129345,1930.02897799233,0.729927,0.675912,9.06096162860774
"Limit Of Detection 170","Poor Linearity","LOD",0.86758,72.8521224511482,0.0102792946157437,1313.98580473988,0.752695,0.703234,20.8631599816628
"Limit Of Detection 171","Poor Linearity","LOD",0.87167,72.9782193947605,0.00987122082844487,861.486917746428,0.759808,0.71177,21.3567033387523
"Limit Of Detection 172","Poor Linearity","LOD",0.862444,72.2246235855433,0.0151711042637502,782.370777577403,0.74381,0.692572,16.5987100956913
"Limit Of Detection 173","Poor Linearity","LOD",0.893835,74.7587557033343,0.00797663670794009,350.320808201969,0.798941,0.758729,24.1249235104604
"Limit Of Detection 174","Poor Linearity","LOD",0.890177,74.6544747490753,0.00671518870587945,678.64414214777,0.792414,0.750897,26.5873599752749
"Limit Of Detection 175","Poor Linearity","LOD",0.855527,70.2448221963034,0.0176802866393501,1448.15977364711,0.731926,0.678311,15.137460648644
"Limit Of Detection 176","Poor Linearity","LOD",0.911108,76.489309512012,0.000776475859576136,1023.02797432993,0.830117,0.796141,84.5809116031329
"Limit Of Detection 177","Poor Linearity","LOD",0.849767,70.6225061540912,0.0192951485605248,1353.31389549623,0.722104,0.666525,14.3521210958323
"Limit Of Detection 178","Poor Linearity","LOD",0.899353,77.124811078329,0.0213342719926645,726.910647897869,0.808836,0.770603,13.4911297618118
"Limit Of Detection 179","Poor Linearity","LOD",0.87485,75.4065944916543,0.0235888490576517,1243.83804750552,0.765363,0.718435,12.6726526447354
"Limit Of Detection 180","Poor Linearity","LOD",0.85034,69.8840347556456,0.0302689107625493,1117.84989782694,0.723078,0.667694,10.8117284613161
"Limit Of Detection 181","Good Linearity","Good Linearity",0.932353,82.409223083971,0.000364279404437189,466.727272602989,0.869281,0.843138,125.012133779022
"Limit Of Detection 182","Poor Linearity","LOD",0.880792,74.052786236276,0.0124989401143659,1443.01670989772,0.775795,0.730954,18.6171838707469
"Limit Of Detection 183","Poor Linearity","LOD",0.924469,78.7800673427521,0.00551828795875959,287.098341412482,0.854643,0.825571,29.6672187727008
"Limit Of Detection 184","Poor Linearity","LOD",0.889056,74.221803071556,0.00445721786376404,135.090082395919,0.79042,0.748504,33.3799583903181
"Limit Of Detection 185","Poor Linearity","LOD",0.854782,73.036901471055,0.0443175661867367,78.0087587230414,0.730653,0.676784,8.38391667033797
"Limit Of Detection 186","Poor Linearity","LOD",0.895397,74.7995330533955,0.00257834235108113,1138.32946853002,0.801735,0.762083,44.9242489170947
"Limit Of Detection 187","Poor Linearity","LOD",0.890448,74.5459337880997,0.0107634294797688,1310.44211374739,0.792898,0.751478,20.3144671148208
"Limit Of Detection 188","Poor Linearity","LOD",0.90705,75.9637118135931,0.00110566891943852,1123.99237649349,0.82274,0.787288,70.3435211343099
"Limit Of Detection 189","Poor Linearity","LOD",0.904873,76.7113147378052,0.00332091731341613,45.4481779920306,0.818796,0.782555,39.1925953420849
"Limit Of Detection 190","Poor Linearity","LOD",0.867355,72.0038562124858,0.00722654806049384,945.585545863379,0.752305,0.702766,25.5115331627943
"Limit Of Detection 191","Poor Linearity","LOD",0.901202,74.9842749299041,0.00244074628722544,546.697435256405,0.812165,0.774598,46.2648600933723
"Limit Of Detection 192","Poor Linearity","LOD",0.926947,79.1059242160088,0.000306457348061975,846.917207410093,0.859231,0.831077,136.596166015649
"Limit Of Detection 193","Poor Linearity","LOD",0.914052,77.4981505604705,0.00229939216851343,279.244552006196,0.835491,0.802589,47.765590399786
"Limit Of Detection 194","Poor Linearity","LOD",0.915123,77.2249225839629,0.00748573962131877,850.374753015478,0.83745,0.80494,25.0088624794837
"Limit Of Detection 195","Poor Linearity","LOD",0.92844,79.2293925309335,0.00478998165248637,659.876704453774,0.862,0.8344,32.0834934669431
"Limit Of Detection 196","Poor Linearity","LOD",0.875459,72.7959859694271,0.0143350284645203,965.495919346966,0.766429,0.719714,17.169076615383
"Limit Of Detection 197","Poor Linearity","LOD",0.916117,78.0686973491476,0.00179326858493813,319.862716164953,0.83927,0.807124,54.5247228718237
"Limit Of Detection 198","Poor Linearity","LOD",0.908563,74.5678348656814,0.00512157013600821,1506.47392072368,0.825487,0.790584,30.9194838902752
"Limit Of Detection 199","Poor Linearity","LOD",0.875,73.9449682627612,0.014453862012621,1337.39642541695,0.765625,0.71875,17.0849968131444
"Limit Of Detection 200","Poor Linearity","LOD",0.899255,75.5534854263719,0.00365476745518514,1287.16114053896,0.808659,0.770391,37.205773697631
